Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
CNC,1080,272,211,82,-0.133,2.3574736,12.419861,1.1,0.48273706,72.85,Healthcare,2020-04-28,{"period":"0m","strongBuy":5,"buy":7,"hold":5,"sell":0,"strongSell":0}
CSX,1081,248,294,136,-0.085,4.0977936,14.665887,2.63,-0.20362854,60.64,Industrials,2020-04-22,{"period":"0m","strongBuy":6,"buy":12,"hold":7,"sell":2,"strongSell":0}
HOLX,1081,25,334,209,2.916,5.133646,16.524529,2.41,0.018372059,41.46,Healthcare,2020-04-29,{"period":"0m","strongBuy":7,"buy":7,"hold":5,"sell":0,"strongSell":0}
KSU,1081,93,250,263,0.477,2.9872885,16.75,1.48,0.12341797,135,Industrials,2020-07-17,{"period":"0m","strongBuy":4,"buy":4,"hold":11,"sell":0,"strongSell":0}
LYB,1086,261,196,231,-0.116,2.1635852,6.5401,4.46,-0.43265575,49.45,Basic Materials,2020-05-01,{"period":"0m","strongBuy":2,"buy":5,"hold":15,"sell":2,"strongSell":0}
NTAP,1096,165,432,305,0.112,33.188976,9.917647,1.69,-0.45045626,41.21,Technology,2020-05-20,{"period":"0m","strongBuy":3,"buy":11,"hold":13,"sell":2,"strongSell":0}
AKAM,1100,126,315,37,0.267,4.665633,19.765478,2.16,0.3737123,105.84,Technology,2020-04-28,{"period":"0m","strongBuy":4,"buy":7,"hold":13,"sell":2,"strongSell":0}
NWSA,1100,258,38,339,-0.105,0.58441126,30.689655,4.58,-0.28456593,8.435,Communication Services,2020-05-07,{"period":"0m","strongBuy":1,"buy":4,"hold":5,"sell":1,"strongSell":0}
CMS,1105,85,276,102,0.546,3.57357,22.164913,3.13,0.17942488,61.88,Utilities,2020-04-27,{"period":"0m","strongBuy":2,"buy":4,"hold":8,"sell":0,"strongSell":0}
TRIP,1105,56,201,433,1,2.2222223,11.45122,101.6,-0.63787115,18.435,Consumer Cyclical,2020-05-05,{"period":"0m","strongBuy":0,"buy":1,"hold":18,"sell":5,"strongSell":1}
